# Look-up Table for CombiPrecip
index        min       medium          max
  0     	  nan		   nan			nan
  1     0.000000     0.000000     0.000000
  2     0.000100     0.000104     0.000108
  3     0.000108     0.000112     0.000117
  4     0.000117     0.000121     0.000126
  5     0.000126     0.000131     0.000136
  6     0.000136     0.000141     0.000147
  7     0.000147     0.000153     0.000159
  8     0.000159     0.000165     0.000171
  9     0.000171     0.000178     0.000185
 10     0.000185     0.000192     0.000200
 11     0.000200     0.000207     0.000216
 12     0.000216     0.000224     0.000233
 13     0.000233     0.000242     0.000251
 14     0.000251     0.000261     0.000271
 15     0.000271     0.000282     0.000293
 16     0.000293     0.000304     0.000316
 17     0.000316     0.000329     0.000342
 18     0.000342     0.000355     0.000369
 19     0.000369     0.000383     0.000398
 20     0.000398     0.000414     0.000430
 21     0.000430     0.000447     0.000464
 22     0.000464     0.000483     0.000501
 23     0.000501     0.000521     0.000541
 24     0.000541     0.000563     0.000585
 25     0.000585     0.000607     0.000631
 26     0.000631     0.000656     0.000682
 27     0.000682     0.000708     0.000736
 28     0.000736     0.000765     0.000795
 29     0.000795     0.000826     0.000858
 30     0.000858     0.000892     0.000927
 31     0.000927     0.000963     0.001000
 32     0.001000     0.001040     0.001080
 33     0.001080     0.001123     0.001166
 34     0.001166     0.001212     0.001260
 35     0.001260     0.001309     0.001360
 36     0.001360     0.001413     0.001469
 37     0.001469     0.001526     0.001586
 38     0.001586     0.001648     0.001712
 39     0.001712     0.001779     0.001849
 40     0.001849     0.001921     0.001996
 41     0.001996     0.002074     0.002155
 42     0.002155     0.002240     0.002327
 43     0.002327     0.002418     0.002513
 44     0.002513     0.002611     0.002714
 45     0.002714     0.002820     0.002930
 46     0.002930     0.003045     0.003164
 47     0.003164     0.003288     0.003416
 48     0.003416     0.003550     0.003689
 49     0.003689     0.003833     0.003983
 50     0.003983     0.004139     0.004301
 51     0.004301     0.004469     0.004644
 52     0.004644     0.004825     0.005014
 53     0.005014     0.005210     0.005414
 54     0.005414     0.005626     0.005846
 55     0.005846     0.006075     0.006313
 56     0.006313     0.006560     0.006816
 57     0.006816     0.007083     0.007360
 58     0.007360     0.007648     0.007947
 59     0.007947     0.008258     0.008581
 60     0.008581     0.008917     0.009266
 61     0.009266     0.009628     0.010005
 62     0.010005     0.010396     0.010803
 63     0.010803     0.011226     0.011665
 64     0.011665     0.012121     0.012595
 65     0.012595     0.013088     0.013600
 66     0.013600     0.014132     0.014685
 67     0.014685     0.015260     0.015857
 68     0.015857     0.016477     0.017122
 69     0.017122     0.017791     0.018487
 70     0.018487     0.019211     0.019962
 71     0.019962     0.020743     0.021555
 72     0.021555     0.022398     0.023274
 73     0.023274     0.024185     0.025131
 74     0.025131     0.026114     0.027136
 75     0.027136     0.028197     0.029301
 76     0.029301     0.030447     0.031638
 77     0.031638     0.032876     0.034162
 78     0.034162     0.035498     0.036887
 79     0.036887     0.038330     0.039830
 80     0.039830     0.041388     0.043007
 81     0.043007     0.044690     0.046438
 82     0.046438     0.048255     0.050143
 83     0.050143     0.052105     0.054143
 84     0.054143     0.056261     0.058462
 85     0.058462     0.060749     0.063126
 86     0.063126     0.065596     0.068162
 87     0.068162     0.070829     0.073600
 88     0.073600     0.076479     0.079471
 89     0.079471     0.082580     0.085811
 90     0.085811     0.089168     0.092656
 91     0.092656     0.096281     0.100048
 92     0.100048     0.103962     0.108029
 93     0.108029     0.112256     0.116647
 94     0.116647     0.121211     0.125953
 95     0.125953     0.130881     0.136001
 96     0.136001     0.141322     0.146850
 97     0.146850     0.152596     0.158565
 98     0.158565     0.164769     0.171215
 99     0.171215     0.177913     0.184874
100     0.184874     0.192106     0.199622
101     0.199622     0.207432     0.215547
102     0.215547     0.223980     0.232742
103     0.232742     0.241848     0.251309
104     0.251309     0.261141     0.271358
105     0.271358     0.281974     0.293005
106     0.293005     0.304468     0.316380
107     0.316380     0.328757     0.341619
108     0.341619     0.354984     0.368872
109     0.368872     0.383303     0.398298
110     0.398298     0.413881     0.430073
111     0.430073     0.446898     0.464382
112     0.464382     0.482550     0.501428
113     0.501428     0.521045     0.541429
114     0.541429     0.562612     0.584622
115     0.584622     0.607494     0.631261
116     0.631261     0.655957     0.681619
117     0.681619     0.708286     0.735996
118     0.735996     0.764790     0.794710
119     0.794710     0.825801     0.858108
120     0.858108     0.891679     0.926564
121     0.926564     0.962813     1.000480
122     1.000480     1.039622     1.080294
123     1.080294     1.122558     1.166474
124     1.166474     1.212110     1.259531
125     1.259531     1.308806     1.360010
126     1.360010     1.413216     1.468504
127     1.468504     1.525956     1.585655
128     1.585655     1.647689     1.712150
129     1.712150     1.779134     1.848738
130     1.848738     1.921064     1.996221
131     1.996221     2.074317     2.155470
132     2.155470     2.239797     2.327423
133     2.327423     2.418477     2.513093
134     2.513093     2.611411     2.713576
135     2.713576     2.819737     2.930052
136     2.930052     3.044682     3.163797
137     3.163797     3.287573     3.416189
138     3.416189     3.549839     3.688716
139     3.688716     3.833028     3.982985
140     3.982985     4.138808     4.300728
141     4.300728     4.468982     4.643819
142     4.643819     4.825497     5.014280
143     5.014280     5.210451     5.414295
144     5.414295     5.626115     5.846223
145     5.846223     6.074939     6.312606
146     6.312606     6.559568     6.816194
147     6.816194     7.082860     7.359957
148     7.359957     7.647896     7.947098
149     7.947098     8.258007     8.581081
150     8.581081     8.916791     9.265638
151     9.265638     9.628128    10.004805
152    10.004805    10.396218    10.802943
153    10.802943    11.225572    11.664744
154    11.664744    12.121097    12.595305
155    12.595305    13.088065    13.600091
156    13.600091    14.132160    14.685046
157    14.685046    15.259560    15.856552
158    15.856552    16.476887    17.121504
159    17.121504    17.791338    18.487379
160    18.487379    19.210651    19.962205
161    19.962205    20.743175    21.554699
162    21.554699    22.397971    23.274235
163    23.274235    24.184763    25.130929
164    25.130929    26.114113    27.135762
165    27.135762    28.197381    29.300510
166    29.300510    30.446818    31.637971
167    31.637971    32.875726    34.161904
168    34.161904    35.498376    36.887161
169    36.887161    38.330278    39.829852
170    39.829852    41.388094    43.007265
171    43.007265    44.689817    46.438191
172    46.438191    48.254967    50.142820
173    50.142820    52.104491    54.142946
174    54.142946    56.261153    58.462226
175    58.462226    60.749410    63.126033
176    63.126033    65.595678    68.161940
177    68.161940    70.828606    73.599592
178    73.599592    76.478937    79.470977
179    79.470977    82.580077    85.810816
180    85.810816    89.167946    92.656341
181    92.656341    96.281289   100.048050
182   100.048050   103.962170   108.029425
183   108.029425   112.255728   116.647446
184   116.647446   121.210981   125.953049
185   125.953049   130.880638   136.000915
186   136.000915   141.321598   146.850453
187   146.850453   152.595603   158.565516
188   158.565516   164.768867   171.215029
189   171.215029   177.913384   184.873798
190   184.873798   192.106508   199.622048
191   199.622048   207.431746   215.546981
192   215.546981   223.979719   232.742357
193   232.742357   241.847629   251.309294
194   251.309294   261.141125   271.357624
195   271.357624   281.973799   293.005092
196   293.005092   304.468164   316.379707
197   316.379707   328.757250   341.619059
198   341.619059   354.983770   368.871627
199   368.871627   383.302783   398.298525
200   398.298525   413.880943   430.072655
201   430.072655   446.898157   464.381922
202   464.381922   482.549681   501.428209
203   501.428209   521.044914   541.429484
204   541.429484   562.611534   584.622266
205   584.622266   607.494110   631.260321
206   631.260321   655.956794   681.619434
207   681.619434   708.286032   735.995911
208   735.995911   764.789335   794.709802
209   794.709802   825.800785   858.108111
210   858.108111   891.679424   926.563408
211   926.563408   962.812889  1000.480517
212  1000.480517  1039.621790  1080.294284
213  1080.294284  1122.557226  1166.474428
214  1166.474428  1212.109784  1259.530529
215  1259.530529  1308.806375  1360.009189
216  1360.009189  1413.215993  1468.504501
217  1468.504501  1525.956075  1585.655210
218  1585.655210  1647.688792  1712.150291
219  1712.150291  1779.133917  1848.737922
220  1848.737922  1921.065102  1996.220433
221  1996.220433  2074.317475  2155.469845
222  2155.469845  2239.797151  2327.423576
223  2327.423576  2418.476217  2513.093011
224  2513.093011  2611.411413  2713.576146
225  2713.576146  2819.738084  2930.050788
226  2930.050788  3044.681598  3163.797120
227  3163.797120  3287.572759  3416.190525
228  3416.190525  3549.837666  3688.716020
229  3688.716020  3833.027705  3982.985084
230  3982.985084  4138.809371  4300.726648
231  4300.726648  4468.981390  4643.818979
232  4643.818979  4825.493097  5014.281989
233  5014.281989  5210.449288  5414.298708
234  5414.298708  5626.115241  5846.218339
235  5846.218339  6074.941151  6312.603099
236  6312.603099  6559.572634  6816.194184
237  6816.194184  7082.855026  7359.959345
238  7359.959345  7647.893647  7947.103419
239  7947.103419  8258.008123  8581.075055
240  8581.075055  8916.794405  9265.634700
241  9265.634700  9628.136288 10004.805202
242 10004.805202 10396.209982 10802.942579
243 10802.942579 11225.572892 11664.753131
244 11664.753131 12121.098186 12595.295738
245 12595.295738 13088.063782 13600.091521
246 13600.091521 14132.171067 14685.045145
247 14685.045145 15259.549869 15856.552261
248 15856.552261 16476.887099 17121.516515
249 17121.516515 17791.338812 18487.366387
